CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Kết cấu khối nhà xây mới +Kiến trúc khối nhà xây mới+ Hạ tầng kỹ thuật ngoài nhà +Bể nước ngâm, bể phốt, bể tách mỡ",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
6,"Máy cắt uốn cốt thép - công suất : 5,0 kW",ca,21.2177,"306,576","6,504,838",,,"  13,902,778 ",,,,,,,,,,,,
,"Máy cắt bê tông - công suất : 7,50 kW",ca,5.32136,"336,574","1,791,031",,,,,,,,,,,,,,,
7,"Máy đầm bê tông, dầm dùi - công suất : 1,5 kW",ca,60.2345,"302,006","18,191,180",,,,60.2345,"302,006","18,191,180",,,,"3,646,691,721",,,,,
8,"Máy đầm bê tông, đầm bàn - công suất : 1,0 kW",ca,11.495,"298,032","3,425,729",,,,11.495,"298,032","3,425,729",,,,,,,,,
9,Máy đầm đất cầm tay - trọng lượng : 70 kg,ca,12.6147,"394,569","4,977,370",,,,12.6147,"394,569","4,977,370",,,,,,,,,
10,Máy ép cọc trước lực ép 200T,ca,66.0583,"765,080","50,539,884",,,,66.0583,"765,080","50,539,884",,,,,,,,,
,Máy hàn nhiệt cầm tay,ca,17.0944,"14,434","246,741",,,,17.0944,"14,434","246,741",,,,,,,,,
11,"Máy hàn xoay chiều - công suất : 23,0 kW",ca,154.609,"442,898","68,476,017",,,,154.609,"442,898","68,476,017",,,,,,,,,
,"Máy khoan bê tông cầm tay- công suất : 0,62kW",ca,50.7516,"15,072","764,928",,,,50.7516,"15,072","764,928",,,,,,,,,
12,"Máy khoan đứng - công suất : 4,5 kW",ca,5.92992,"68,227","404,581",,,,5.92992,"68,227","404,581",,,,,,,,,
13,"Máy mài - công suất : 2,7 kW",ca,1.883583,"19,115","36,005",,,,1.883583,"19,115","36,005",,,,,,,,,
14,"Máy nén khí, động cơ diezel - năng suất : 360,00 m3/h",ca,0.6177,"1,165,568","719,971",,,,0.6177,"1,165,568","719,971",,,,,,,,,
15,"Máy trộn bê tông - dung tích : 250,0 lít",ca,5.938,"346,163","2,055,516",,,,5.938,"346,163","2,055,516",,,,,,,,,
16,Máy trộn vữa 150 lít,ca,24.0497,"320,127","7,698,958",,,,13.192747,"320,127","4,223,355",,,,,,,,,
17,"Máy vận thăng - sức nâng : 0,8 T",ca,0.5471,"472,914","258,731",,,,0.547068,"472,914","258,716",,,,,,,,,
18,"Máy vận thăng lồng - sức nâng : 3,0 T",ca,7.5494,"853,004","6,439,668",,,,7.4097375,"853,004","6,320,536",,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,"Máy đào một gầu, bánh xích - dung tích gầu : 0,80 m3",ca,0.8,"2,536,376","2,029,101",10,"  2,500,000 ","  25,000,000 ",-1.235,,,,,,,,,,,
21,"Máy đào một gầu, bánh xích - dung tích gầu : 1,25 m3",ca,1.4253,"3,478,232","4,957,524",,,,,,,  37 ,,,,,,,,
22,"Máy đào 1,25 m3 gắn đầu búa thủy lực / hàm kẹp",ca,6.540,"3,745,164","24,493,747",,,,,,,,,,,,,,,
23,"Ô tô tự đổ - trọng tải : 10,0 T",ca,38.4152,"1,990,510","76,465,840",,,,38.4152,"1,990,510","76,465,840",,,,,,,,,
24,"Máy bơm nước, động cơ diezel - công suất : 5,0 CV",ca,4.762,"72,397","344,755",,,,4.762,"72,397","344,755",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
25,Thi công phá dỡ ,,,,,,,"  99,351,852 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
26,Máy khác,%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cộng máy,,,,"488,984,514",,,"153,530,094",,,"421,857,983",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Tổng VL+ NC +Máy,,,,"7,511,996,392",,,"4,303,557,521",,,"4,926,554,700",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Cấp điện, điện nhẹ khối nhà xây mới",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
1,"Thanh cái Cu, ICP=100A", hệ ,  1 ,"  180,000 ","  180,000 ",,,,  1 ,"  180,000 ","  180,000 ",,,,,,,,,
2,"Thanh cái Cu, ICP=50A", hệ ,  1 ,"  100,000 ","  100,000 ",,,,  1 ,"  100,000 ","  100,000 ",,,,,,,,,
3,"Thanh cái Cu, ICP=50A", hệ ,  1 ,"  100,000 ","  100,000 ",,,,  1 ,"  100,000 ","  100,000 ",,,,,,,,,
4,Chụp thải gió inox D150, cái ,  8 ,"  200,000 ","  1,600,000 ",,,,  8 ,"  200,000 ","  1,600,000 ",,,,,,,,,
5,Lắp đặt dây cáp HDMI (loại 10m), cái ,  8 ,"  369,000 ","  2,952,000 ",,,,  8 ,"  369,000 ","  2,952,000 ",,,,,,,,,
6,Túi hạt mạng (100 hạt), túi ,  1 ,"  160,000 ","  160,000 ",,,,  1 ,"  160,000 ","  160,000 ",,,,,,,,,
7,Louver thải gió KT 750x300, cái ,  1 ,"  350,000 ","  350,000 ",,,,  1 ,"  350,000 ","  350,000 ",,,,,,,,,
8,Băng báo hiệu cáp bản 300mm, m ,  25 ,"  9,000 ","  225,000 ",,,,  25 ,"  9,000 ","  225,000 ",,,,,,,,,
9,Aptomat MCB 10A-1P-6kA, cái ,  25 ,"  96,000 ","  2,400,000 ",,,,  25 ,"  96,000 ","  2,400,000 ",,,,,,,,,
10,Aptomat MCB 20A-1P-6kA, cái ,  45 ,"  96,000 ","  4,320,000 ",,,,  45 ,"  96,000 ","  4,320,000 ",,,,,,,,,
11,Aptomat MCB 25A-3P-10kA, cái ,  10 ,"  480,000 ","  4,800,000 ",,,,  10 ,"  480,000 ","  4,800,000 ",,,,,,,,,
12,Aptomat MCB 32A-1P-10kA, cái ,  2 ,"  96,000 ","  192,000 ",,,,  2 ,"  96,000 ","  192,000 ",,,,,,,,,
13,Aptomat MCB 32A-3P-10kA, cái ,  10 ,"  480,000 ","  4,800,000 ",,,,  10 ,"  480,000 ","  4,800,000 ",,,,,,,,,
14,Aptomat MCB 50A-3P-10kA, cái ,  6 ,"  580,000 ","  3,480,000 ",,,,  6 ,"  580,000 ","  3,480,000 ",,,,,,,,,
15,Aptomat MCCB 80A-3P-25kA, cái ,  1 ,"  1,844,260 ","  1,844,260 ",,,,  1 ,"  1,844,260 ","  1,844,260 ",,,,,,,,,
16,Aptomat RCBO 20A-2P-6kA, cái ,  10 ,"  422,800 ","  4,228,000 ",,,,  10 ,"  422,800 ","  4,228,000 ",,,,,,,,,
17,Bu lông mạ M6x20, cái ,  51 ,  500 ,"  25,575 ",,,,  51 ,  500 ,"  25,575 ",,,,,,,,,
18,Cao su làm gioăng, m2 ,  0 ,"  50,000 ","  11,748 ",,,,  0 ,"  50,000 ","  11,748 ",,,,,,,,,
19,Côn đầu quạt, cái ,  2 ,"  150,000 ","  300,000 ",,,,  2 ,"  150,000 ","  300,000 ",,,,,,,,,
20,Côn ống gió KT 300x250/D250, cái ,  2 ,"  136,000 ","  272,000 ",,,,  2 ,"  136,000 ","  272,000 ",,,,,,,,,
21,Cồn rửa, kg ,  1 ,"  30,000 ","  17,928 ",,,,  1 ,"  30,000 ","  17,928 ",,,,,,,,,
22,Công tác 1 chiều ba + mặt nhựa, cái ,  8 ,"  84,300 ","  674,400 ",,,,  8 ,"  84,300 ","  674,400 ",,,,,,,,,
23,Công tác 1 chiều ba đảo chiều + mặt nhựa, cái ,  4 ,"  84,300 ","  337,200 ",,,,  4 ,"  84,300 ","  337,200 ",,,,,,,,,
24,Công tác 1 chiều bốn + mặt nhựa, cái ,  8 ,"  103,500 ","  828,000 ",,,,  8 ,"  103,500 ","  828,000 ",,,,,,,,,
25,Công tác 1 chiều đảo chiều + mặt nhựa, cái ,  2 ,"  41,100 ","  82,200 ",,,,  2 ,"  41,100 ","  82,200 ",,,,,,,,,
26,Công tác 1 chiều đôi + mặt nhựa, cái ,  1 ,"  62,700 ","  62,700 ",,,,  1 ,"  62,700 ","  62,700 ",,,,,,,,,
27,Công tác 1 chiều đôi đảo chiều + mặt nhựa, cái ,  2 ,"  62,700 ","  125,400 ",,,,  2 ,"  62,700 ","  125,400 ",,,,,,,,,
28,Công tác 1 chiều đơn + mặt nhựa, cái ,  24 ,"  41,100 ","  986,400 ",,,,  24 ,"  41,100 ","  986,400 ",,,,,,,,,
29,Công tắc bình nước nóng, cái ,  16 ,"  20,000 ","  320,000 ",,,,  16 ,"  20,000 ","  320,000 ",,,,,,,,,
30,Dây cáp internet UTP CAT6E, m ,  455 ,"  5,500 ","  2,499,750 ",,,,  455 ,"  5,500 ","  2,499,750 ",,,,,,,,,
31,"Dây dẫn CU/PVC (1x1,5)mm2", m ,"  6,060 ","  5,720 ","  34,663,200 ",,,,"  6,060 ","  5,720 ","  34,663,200 ",,,,,,,,,
,"Dây cu 1x1,5mm2", m ,,,,"  1,200 ","  7,100 ","  8,520,000 ","  1,200 ","  7,100 ","  8,520,000 ",208,,,,,,,,
,"Dây cu 1x1,5mm2", m ,,,,"  2,400 ","  7,100 ","  17,040,000 ","  2,400 ","  7,100 ","  17,040,000 ",223,,,,,,,,
,"Dây điện 1x1,5", m ,,,,"  2,600 ","  7,100 ","  18,460,000 ","  2,600 ","  7,100 ","  18,460,000 ",223,,,,,,,,
32,Dây dẫn CU/PVC (1x10)mm2 (tiếp địa), m ,  26 ,"  34,300 ","  900,718 ",,,,  26 ,"  34,300 ","  900,718 ",,,"  53,415,000 ",,,,,,
,Dây điện 1x10, m ,,,,  26 ,"  50,550 ","  1,314,300 ",  26 ,"  50,550 ","  1,314,300 ",208,,,,,,,,
33,"Dây dẫn CU/PVC (1x2,5)mm2", m ,"  2,323 ","  9,320 ","  21,650,360 ",,,,"  2,323 ","  9,320 ","  21,650,360 ",,,,,,,,,
,"Dây điện 1x2,5", m ,,,,"  1,700 ","  11,200 ","  19,040,000 ","  1,700 ","  11,200 ","  19,040,000 ",208,,,,,,,,
,"Dây điện 1x2,5", m ,,,,"  1,200 ","  11,200 ","  13,440,000 ","  1,200 ","  11,200 ","  13,440,000 ",223,,,,,,,,
,"Dây điện 1x2,5", m ,,,,  100 ,"  11,200 ","  1,120,000 ",  100 ,"  11,200 ","  1,120,000 ",223,,,,,,,,
34,"Dây dẫn CU/PVC (1x2,5)mm2 (tiếp địa)", m ,"  1,162 ","  9,320 ","  10,825,180 ",,,,"  1,162 ","  9,320 ","  10,825,180 ",,,,,,,,,
35,Dây dẫn CU/PVC (1x4)mm2 (tiếp địa), m ,  254 ,"  17,160 ","  4,350,232 ",,,,  254 ,"  17,160 ","  4,350,232 ",,,,,,,,,
,Dây điện 1x4, m ,,,,  300 ,"  18,600 ","  5,580,000 ",  300 ,"  18,600 ","  5,580,000 ",208,,,,,,,,
,Dây điện 1x4,,,,,  100 ,"  18,600 ","  1,860,000 ",  100 ,"  18,600 ","  1,860,000 ",223,,,,,,,,
36,Dây dẫn CU/PVC (1x6)mm2 (tiếp địa), m ,  51 ,"  25,190 ","  1,272,095 ",,,,  51 ,"  25,190 ","  1,272,095 ",,,,,,,,,
,Dây điện 1x6, m ,,,,  50 ,"  28,600 ","  1,430,000 ",  50 ,"  28,600 ","  1,430,000 ",208,,,,,,,,
37,Dây dẫn CU/XLPE/DSTA/PVC (4x25)mm2, m ,  25 ,"  400,000 ","  10,100,000 ",,,,  25 ,"  400,000 ","  10,100,000 ",,,,,,,,,
,Cáp điện 4x25, m ,,,,  20 ,"  498,188 ","  9,963,760 ",  20 ,"  498,188 ","  9,963,760 ",208,,,,,,,,
38,Dây dẫn CU/XLPE/PVC (4x10)mm2, m ,  26 ,"  163,636 ","  4,297,081 ",,,,  26 ,"  163,636 ","  4,297,081 ",,,,,,,,,
,Cáp cu 4x10, m ,,,,  15 ,"  204,130 ","  3,061,950 ",  15 ,"  204,130 ","  3,061,950 ",,,,,,,,,
39,Dây dẫn CU/XLPE/PVC (4x4)mm2, m ,  178 ,"  70,000 ","  12,443,200 ",,,,  178 ,"  70,000 ","  12,443,200 ",,,,,,,,,
,Cáp điện 4x4, m ,,,,  180 ,"  85,910 ","  15,463,800 ",  48 ,"  85,910 ","  4,123,680 ",208,,,,,,,,
40,Dây dẫn CU/XLPE/PVC (4x6)mm2, m ,  51 ,"  105,545 ","  5,330,023 ",,,,  51 ,"  105,545 ","  5,330,023 ",,,,,,,,,
,Cáp cu 4x6, m ,,,,  40 ,"  129,300 ","  5,172,000 ",  40 ,"  129,300 ","  5,172,000 ",208,,,,,,,,
41,Đèn led dowlight tròn 7W, bộ ,  336 ,"  140,000 ","  47,040,000 ",,,,  336 ,"  140,000 ","  47,040,000 ",,,,,,,,,
42,Đèn led dowlight tròn chống ẩm 16W, bộ ,  40 ,"  376,000 ","  15,040,000 ",,,,  40 ,"  376,000 ","  15,040,000 ",,,,,,,,,
43,Đèn led dowlight vuông âm trần 12W, bộ ,  45 ,"  216,000 ","  9,720,000 ",,,,  45 ,"  216,000 ","  9,720,000 ",,,,,,,,,
44,Đèn led panel âm trần 600x600mm-40W, bộ ,  19 ,"  1,102,000 ","  20,938,000 ",,,,  19 ,"  1,102,000 ","  20,938,000 ",,,,,,,,,
45,Giá treo ống gió V4, cái ,  1 ,"  150,000 ","  150,000 ",,,,  1 ,"  150,000 ","  150,000 ",,,,,,,,,
46,Hộp số (nếu có), cái ,  31 ,"  28,333 ","  878,323 ",,,,  31 ,"  28,333 ","  878,323 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
47,"Hộp tủ điện kim loại KT 400x300x200mm, tôn dày 1,5mm, vỏ tủ sơn tĩnh điện", bộ ,  2 ,"  700,000 ","  1,400,000 ",,,,  1 ,"  320,000 ","  320,000 ",,,,6,,,,,
,Tủ sắt sơn tĩnh điện 40x30x150, cái ,,,,  1 ,"  320,000 ","  320,000 ",,,,144,,,,,,,,
,Tủ điện nổi 30x20 NT, cái ,,,,  2 ,"  380,000 ","  760,000 ",,,,208,Hỏi lại xem đúng loại ko,,,,,,,
48,"Hộp tủ điện kim loại KT 600x400x250mm, tôn dày 1,5mm, vỏ tủ sơn tĩnh điện", bộ ,  1 ,"  850,000 ","  850,000 ",,,,  -   ,,,,,,,,,,,
,Tủ điện 600x400x180, cái ,,,,  1 ,"  530,000 ","  530,000 ",,,,144,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
49,Isolatos 32A, bộ ,  2 ,"  848,520 ","  1,697,040 ",,,,  2 ,"  848,520 ","  1,697,040 ",,,,,,,,,
50,Keo dán, kg ,  0.20 ,"  118,000 ","  23,600 ",,,,  0.200 ,"  118,000 ","  23,600 ",,,,,,,,,
51,Nhựa dán, kg ,  0.04 ,"  86,000 ","  3,302 ",,,,  0.038 ,"  86,000 ","  3,302 ",,,,,,,,,
52,Ổ cắm đôi 3 chấu + đế nhựa, cái ,  72 ,"  123,180 ","  8,868,960 ",,,,,,"  8,003,360 ",,,,,,,,,
,Đế âm đôi, cái ,,,,  30 ,"  11,500 ","  345,000 ",,,,144,,,,,,,,
,Đế âm đơn, cái ,,,,  137 ,"  3,800 ","  520,600 ",,,,144,,,,,,,,
53,Ổ cắm mạng internet RJ45 (mặt hạt kèm đế âm), cái ,  16 ,"  95,000 ","  1,520,000 ",,,,  16 ,"  95,000 ","  1,520,000 ",,,,,,,,,
54,Ống nhựa bảo hộ dây dẫn PVC D16, m ,"  2,754 ","  6,575 ","  18,107,550 ",,,,,,"  13,300,550 ",,,,0.3684210526,,,,,
,Ống cứng D16, cây ,,,,  60 ,"  20,900 ","  1,254,000 ",,,,144,,,,,,,,
,Ống luồn dây điện SP9016, cây ,,,,  170 ,"  20,900 ","  3,553,000 ",,,,187,,,,,,,,
55,Ống nhựa bảo hộ dây dẫn PVC D20, m ,"  1,515 ","  9,281 ","  14,057,931 ",,,,,,"  5,881,931 ",,,,36.84210526,,,,,
,Ống đàn hồi SP16, m ,,,,  150 ,"  3,700 ","  555,000 ",,,,208,,,,,,,,
,Ống đàn hồi SP16, m ,,,,  350 ,"  3,700 ","  1,295,000 ",,,,223,,,,,,,,
,Ống cứng D20, cây ,,,,  100 ,"  29,200 ","  2,920,000 ",,,,144,,,,,,,,
,Ống luồn dây điện SP9020, cây ,,,,  180 ,"  29,200 ","  5,256,000 ",,,,187,,,,,,,,
57,Ống nhựa bảo hộ dây dẫn PVC D32, m ,  301 ,"  25,548 ","  7,687,393 ",,,,,,"  2,557,393 ",,,,,,,,,
,Ống cứng D32, cây ,,,,  10 ,"  85,500 ","  855,000 ",,,,144,,,,,,,,
,Ống luồn dây điện SP9032, cây ,,,,  50 ,"  85,500 ","  4,275,000 ",,,,187,,"  147,949,110 ",,,,,,
,Ống luồn dây điện SP20, cây ,,,,  70 ,"  29,200 ","  2,044,000 ",,,,208,,,,,,,,
,Ống luồn dây điện SP25, cây ,,,,  35 ,"  40,500 ","  1,417,500 ",,,,208,,,,,,,,
58,"Ống nhựa D150mm, class 1", m ,  24 ,"  111,818 ","  2,710,468 ",,,,  24 ,"  111,818 ","  2,710,468 ",,,,#REF!,,,,,
59,Ống nhựa HDPE D80/63mm bảo vệ cáp ngầm, m ,  25 ,"  90,000 ","  2,272,500 ",,,,  (5),,,,,,14395,,,,,
,Ống HDPE 85/65, m ,,,,  20 ,"  30,000 ","  600,000 ",,,,144,,,,,,,,
,Ống HDPE 30/40, m ,,,,  10 ,"  12,000 ","  120,000 ",,,,144,,,,,,,,
60,Ống thông gió D25, m ,  5 ,"  86,000 ","  430,000 ",,,,  5 ,"  86,000 ","  430,000 ",,,,,,,,,
61,Ống thông gió hộp KT 300x250mm, m ,  1 ,"  196,000 ","  156,800 ",,,,  1 ,"  196,000 ","  156,800 ",,,,,,,,,
62,Ống thông gió hộp KT 400x300mm, m ,  1 ,"  245,000 ","  159,250 ",,,,  1 ,"  245,000 ","  159,250 ",,,,,,,,,
63,Ống thông gió mềm D150, m ,  8 ,"  250,000 ","  2,000,000 ",,,,  8 ,"  250,000 ","  2,000,000 ",,,,,,,,,
64,"Quạt hướng trục hút bếp, động cơ gắn ngoài Q=3600m3/h, H=300Pa, 3P/380V/50Hz -1,5KW", cái ,  1 ,"  4,500,000 ","  4,500,000 ",,,,  1 ,"  4,500,000 ","  4,500,000 ",,,,,,,,,
65,"Quạt thông gió gắn trần WC, Q=200m3/h, H=50PA, P=30W", cái ,  10 ,"  181,820 ","  1,818,200 ",,,,  10 ,"  181,820 ","  1,818,200 ",,,,,,,,,
66,"Quạt trần sải cánh D1400, công suất 70W", cái ,  31 ,"  750,000 ","  23,250,000 ",,,,  31 ,"  750,000 ","  23,250,000 ",,,,,,,,,
67,Tê D150, cái ,  8 ,"  63,727 ","  509,816 ",,,,  8 ,"  63,727 ","  509,816 ",,,,,,,,,
68,Tê ống gió vuông KT 400x300/300x250/300x250, cái ,  1 ,"  350,000 ","  350,000 ",,,,  1 ,"  350,000 ","  350,000 ",,,,,,,,,
69,Tủ điện phòng âm tường chứa 14 aptomat, bộ ,  8 ,"  950,000 ","  7,600,000 ",,,,  -   ,,,,,,,,,,,
70,Tủ điện âm tường 8/12, cái ,,,,  8 ,"  350,000 ","  2,800,000 ",,,,144,,,,,,,,
71,Tủ điện phòng âm tường chứa 18 aptomat, bộ ,  1 ,"  950,000 ","  950,000 ",,,,  -   ,,,,,,,,,,,
,Tủ điện âm tường 14/18, cái ,,,,  1 ,"  650,000 ","  650,000 ",,,,144,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Phần hoá đơn có ,,,,,,,,,,,,,,,,,,,
,Khớp nối trơn 16(măng xông D16), cái ,,,,  400 ,"  1,000 ","  400,000 ",,,,144+208+187,,,,,,,,
,Khớp nối trơn20(măng xông D20), cái ,,,,  310 ,"  1,100 ","  341,000 ",,,,144+187+208,,,,,,,,
,Khớp nối trơn20(măng xông D25), cái ,,,,  100 ,"  1,600 ","  160,000 ",,,,208,,,,,,,,
,Khớp nối trơn32(măng xông D32), cái ,,,,  90 ,"  2,200 ","  198,000 ",,,,187+50,,,,,,,,
,Kẹp 16, cái ,,,,  150 ,"  1,220 ","  183,000 ",,,,144,,,,,,,,
,Kẹp 16, cái ,,,,  300 ,"  1,220 ","  366,000 ",,,,187,,,,,,,,
,Kẹp 20, cái ,,,,  360 ,"  1,250 ","  450,000 ",,,,144+208,,,,,,,,
,Kẹp 25, cái ,,,,  100 ,"  2,260 ","  226,000 ",,,,,,,,,,,,
,Kẹp 32, cái ,,,,  150 ,"  2,420 ","  363,000 ",,,,187+208+144,,,,,,,,
,Chia 3/16, cái ,,,,  200 ,"  6,200 ","  1,240,000 ",,,,144,,,,,,,,
,Hộp chia ngả 3 đường, cái ,,,,  300 ,"  6,200 ","  1,860,000 ",,,,187+208,,,,,,,,
,Chia 3/20, cái ,,,,  100 ,"  6,500 ","  650,000 ",,,,144,,,,,,,,
,Hộp nối dây tự chống cháy 110x110, cái ,,,,  30 ,"  16,000 ","  480,000 ",,,,144+208,,,,,,,,
,Hộp nối dây tự chống cháy 110x111, cái ,,,,  10 ,"  16,000 ","  160,000 ",,,,187,,,,,,,,
,Hộp nối dây tự chống cháy 185x185, cái ,,,,  3 ,"  68,000 ","  204,000 ",,,,187,,,,,,,,
,Hộp nối dây tự chống cháy 160x160, cái ,,,,  15 ,"  37,600 ","  564,000 ",,,,187,,,,,,,,
,Ống đàn hồi(Ống sun D16), m ,,,,  50 ,"  3,700 ","  185,000 ",,,,144,,,,,,,,
,Ống đàn hồi(Ống sun D16), m ,,,,  100 ,"  3,700 ","  370,000 ",,,,187,,,,,,,,
,Ống đàn hồi(Ống sun D20), m ,,,,  50 ,"  4,400 ","  220,000 ",,,,144,,,,,,,,
,Ống đàn hồi(Ống sun D20), m ,,,,  50 ,"  4,400 ","  220,000 ",,,,187,,,,,,,,
,Ống đàn hồi(Ống sun D25), m ,,,,  25 ,"  14,288 ","  357,200 ",,,,187,,,,,,,,
,Băng dính điện, cuộn ,,,,  10 ,"  10,000 ","  100,000 ",,,,144,,,,,,,,
,,,,,,  20 ,"  10,000 ","  200,000 ",,,,223,,,,,,,,
,,,,,,,,,,,,,,"  13,084,000 ",,,,,,
,,,,,,,,,,,,,,"  147,949,110 ",,,,,,
,Cộng VL,,,,"  338,795,783 ",,,"  161,033,110 ",,,"  417,190,373 ",,,,,,,,,
,NHÂN CÔNG,,,,,,,,,,,,Nhân công + máy cộng cả vào bảng chung các HM rồi,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cộng NC,,,,  -   ,,,,,,,,,,,,,,,
,MÁY THI CÔNG,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cộng Máy,,,,  -   ,,,,,,,,,,,,,,,
,Cộng tổng,,,,"  338,795,783 ",  -   ,  -   ,"  161,033,110 ",  -   ,  -   ,"  417,190,373 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
HM: Cấp thoát nước khối xây mới,,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
1,Băng tan, m ,  93.600 ,"  1,455 ","  136,188 ",  -   ,,,  93.60 ,"  1,455 ","  136,188 ",,,,,,,,,
2,BE D20mm, cái ,  0.245 ,"  74,050 ","  18,142 ",,,,  0.25 ,"  74,050 ","  18,142 ",,,,,,,,,
3,BE D25mm, cái ,  0.032 ,"  92,562 ","  2,962 ",,,,  0.03 ,"  92,562 ","  2,962 ",,,,,,,,,
4,BE D32mm, cái ,  0.012 ,"  118,479 ","  1,422 ",,,,  0.01 ,"  118,479 ","  1,422 ",,,,,,,,,
5,BE D40mm, cái ,  0.024 ,"  148,099 ","  3,480 ",,,,  0.02 ,"  148,099 ","  3,480 ",,,,,,,,,
6,BE D65mm, cái ,  0.028 ,"  240,661 ","  6,618 ",,,,  0.03 ,"  240,661 ","  6,618 ",,,,,,,,,
7,BE D75mm, cái ,  0.010 ,"  277,686 ","  2,777 ",,,,  0.01 ,"  277,686 ","  2,777 ",,,,,,,,,
8,"Bể chứa nước Inox 5,0m3 (Sơn Hà hoặc tương đương)", bể ,  3.000 ,"  17,460,000 ","  52,380,000 ",,,,  3.00 ,"  17,460,000 ","  52,380,000 ",,,,,,,,,
9,Bình tích áp 50L, bể ,  2.000 ,"  3,600,000 ","  7,200,000 ",,,,  2.00 ,"  3,600,000 ","  7,200,000 ",,,,,,,,,
10,BU D20mm, cái ,  0.245 ,"  44,100 ","  10,805 ",,,,  0.25 ,"  44,100 ","  10,805 ",,,,,,,,,
11,BU D25mm, cái ,  0.032 ,"  55,125 ","  1,764 ",,,,  0.03 ,"  55,125 ","  1,764 ",,,,,,,,,
12,BU D32mm, cái ,  0.012 ,"  70,875 ",  851 ,,,,  0.01 ,"  70,875 ",  851 ,,,,,,,,,
