CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Kết cấu khối nhà xây mới +Kiến trúc khối nhà xây mới+ Hạ tầng kỹ thuật ngoài nhà +Bể nước ngâm, bể phốt, bể tách mỡ",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
16,Đinh,kg,35.29,"23,000","  811,672 ",  50 ,"  20,000 ","1,000,000",  (15),"  23,000 ","  (338,328)",  88 ,,,,84,,,,
17,Đinh đỉa,cái,60.33,"2,333","  140,750 ",,,,  60 ,"  2,333 ","  140,750 ",,,,,,,,,
18,Đinh tán f22,cái,49.4,"10,533","  520,499 ",,,,  49 ,"  10,533 ","  520,499 ",,,,,,,,,
,,,,,,,,,,,,,,,,  1 ,,,,
18,Gỗ chống,m3,2.70,"3,409,091","  9,189,887 ",,,,,,"  (45,804,707)",,,"  3,060 ",,,,,,
19,Gỗ đà nẹp,m3,0.12,"3,409,091","  393,068 ",,,,,,,,,,,,,,,
,Gỗ chèn,m3,0.07,"3,409,091","  252,273 ",,,,,,,,,,,,,,,
20,Gỗ ván,m3,4.6734,"3,409,091","  15,932,046 ",,,,,,,,,,,,,,,
21,Ván ép phủ phim,m2,341,"105,000","  35,849,100 ",,,,,,,,,10980000,,,,,,
22,Giáo thép,kg,404,"15,382","  6,215,319 ",,,,,,,,,,,,,,,
,Thuê giáo chống cốp pha ván phủ phim ,m2,,,,"  1,000 ","  113,636.40 ","  113,636,400 ",,,,  114 ,,"  8,869,000.00 ",,,,,,
,,,,,,,,,,,,,,,,,,,,
,Que hàn inox 304,kg,92.46,"120,000","  11,095,428 ",,,,  92 ,"  120,000 ","  11,095,428 ",,,,,,,,,
,Thép hình inox 304,kg,"1,411","80,000","  112,843,824 ",,,,"  1,411 ","  80,000 ","  112,843,824 ",,Hỏi Chú sơn xem thép lj và có lấy hđơn ko,,,,,,,
,Thép tấm inox 304,kg,681,"80,000","  54,455,648 ",,,,  681 ,"  80,000 ","  54,455,648 ",,,,,,,,,
,Thép các loại inox 304,kg,161.90,"80,000","  12,952,240 ",,,,  162 ,"  80,000 ","  12,952,240 ",,,,,,,,,
,Thép tròn inox 304,kg,132.262,"80,000","  10,580,936 ",,,,  132 ,"  80,000 ","  10,580,936 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
23,Thép các loại,kg,  699 ,"  15,700 ","  10,973,044 ",,,,  699 ,"  15,700 ","  10,973,044 ",,,,,,,,,
24,Thép hình,kg,"  2,923 ","  15,700 ","  45,891,218 ",,,,"  2,923 ","  15,700 ","  45,891,218 ",,Hỏi lại để lấy hđơn ở đâu,,,,,,,
25,Thép tấm,kg,"1,461","  15,700 ","  22,940,378 ",,,,"  1,461 ","  15,700 ","  22,940,378 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
26,Thép tròn,kg,827,"14,200","  11,740,361 ",,,,  673 ,,,,,,,,,,,
27,Thép tròn D<=10mm,kg,"22,721","14,200","  322,635,786 ","  15,250 ","  15,945.45 ","  243,168,113 ",,"  14,200 ","  9,551,147 ","  1,650 ",,,,,,,,
,Thép D6-D8,kg,,,,"  7,625 ","  15,945.45 ","  121,584,056 ",,,,"  1,658 ", Còn ít chờ QT ,,,,,,,
,,,,,,,,, còn lấy ,,,,,,,,,,,
28,Thép tròn D<=18mm,kg,"19,020","14,500","  275,792,004 ","  10,500 ","  15,945.45 ","  167,427,225 ",  460 ,"  14,500 ","  6,672,004 ","  1,650 ",,,,,,,,
,Thép D10-D16,kg,,,,"  8,060 ","  15,945.45 ","  128,520,327 ",,,,"  1,658 ",Còn ít chờ QT,,,,,,,
,,,,,,,,, còn lấy ,,,,,,,,,,,
29,Thép tròn D>10mm,kg,"2,142","14,700","  31,490,311 ",,,  -   ,  (5),,  -   ,,"  1,071 ",Lấy hđơn thép 50% số dự toán,,,,,,
30,Thép tròn D>18mm,kg,"13,676","14,700","  201,032,055 ","  9,618 ","  15,945.45 ","  153,363,338 ",,,  -   ,"  1,650 ","  6,838 ",,,,,,,
,Thép D18-D22,kg,,,,"  6,205 ","  15,945.45 ","  98,941,517 ",,,,"  1,658 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,
31,Dây thép,kg,676.25,"20,000","  13,524,928 ",  35 ,"  17,727.27 ","  620,454 ",  11 ,,  -   ,"  1,650 ",  338 ,Lấy hđơn dây thép 50% số dự toán,,,,,,
,Dây thép 1 ly,kg,,,,  630 ,"  17,727.27 ","  11,168,180 ",,"  17,727 ","  199,368 ","  1,658 ",,,,,,,,
32,Khung xương( nhôm),kg,320,"70,000","  22,405,005 ",,,,  320 ,"  70,000 ","  22,405,005 ",, Hỏi xem là gì và lấy hđơn ở đâu ,,,,,,,
33,Cột chống thép ống,kg,  972.59 ,"15,700","  15,269,718 ",,,,  973 ,"  15,700 ","  15,269,718 ",,,,,,,,,
,,,,,,,,,,,,,,,"  22,875 ",,,,,
34,"Vữa XMPC30, cát vàng, đá 1x2 M300 - Độ sụt 14 - 17cm",m3,371,"1,020,000","  378,769,350 ",  87.5 ,"  1,222,222 ","  106,944,444 ",  121.8 ,"  1,020,000 ","  124,225,800 ",  508 , Lấy thêm hđơn M300 ,,,,,,,
,BTTP Mac 300,m3,,,,  94.5 ,"  1,222,222 ","  115,500,000 ",,,,  89 ,,,  47.8 ,,,,,
,BTTP Mac 300 R7,m3,,,,  81.5 ,"  1,361,111 ","  110,930,555 ",,,,  89 ,,,,,,,,
,BTTP Mac 300 ,m3,,,,  9 ,"  1,314,815 ","  11,833,333 ",,,,  89 ,,,,,,,,
,BTTP Mac 300 ,m3,,,,  74 ,"  1,425,925.93 ","  105,518,519 ",,,,  169 ,,,,,,,,
,BTTP Mac 300 ,m3,,,,  10 ,"  1,379,629.60 ","  13,796,296 ",,,,  232 ,,,,,,,,
35,"Vữa XMPC30, cát vàng, đá 1x2 M250 - Độ sụt 14 - 17cm",m3,3,"970,000","  2,910,000 ",,,,,"  970,000 ",  -   ,,,,,,11,,,
,Bê tông M250,m3,,,,  16.50 ,"  1,333,333.33 ","  22,000,000 ",,,,  169 ,,,,,,,,
,Bê tông M150,m3,,,,  26.0 ,"  1,240,740.74 ","  32,259,259 ",,,,  169 ,,,,,,,,
,Bê tông M150,m3,,,,  12.5 ,"  1,083,333.33 ","  13,541,667 ",,,,  508 ,,114,,,,,,
,,,,,,,,,,,,,,,,,,,,
36,Bê tông bọt chống nóng mái M75,m3,46.4026,"750,000","  34,801,950 ",,,,,,,,,,,,,,,
37,"Vữa XMPC30, cát vàng, đá 1x2 M150 - Độ sụt 14 - 17cm",m3,96.5449,"870,000","  83,994,063 ",,,,,,,,,,,,,,,
38,"Vữa XMPC30, cát vàng, đá 1x2 M100 - Độ sụt 14 - 17cm",m3,16,"870,000","  13,920,000 ",,,,,"  870,000 ",  -   ,,,,,#REF!,,,,
,,,,,,,,,,,,,,,,,,,,
39,Nước,m3,2.0,"12,000","  24,000 ",,,,  2 ,"  12,000 ","  24,000 ",,,,,,,,,
40,Nước,lít,"73,727",12,"  884,718 ",,,,"  73,727 ",  12 ,"  884,718 ",,,,,,,2112000,,
41,Phụ gia dẻo hoá,kg,  11.2096 ,"22,833","  255,949 ",,,,  11 ,"  22,833 ","  255,949 ",,,,,,,,,
42, Khí ga ,kg,  12.7289 ,"  20,278 ","  258,117 ",,,,  13 ,"  20,278 ","  258,117 ",,,,,,,,,
43,Ô xy,chai,  6.3588 ,"53,333","  339,134 ",,,,  6 ,"  53,333 ","  339,134 ",,,,,,,,,
44,Bật sắt d= 10mm,cái,120,"1,333","  159,960 ",,,,  120 ,"  1,333 ","  159,960 ",,,,,,,,,
45,Bu lông,cái,43,"13,500","  575,618 ",,,,  43 ,"  13,500 ","  575,618 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
46,Mũ chụp inox D160,cái,4.0,"25,000","  100,000 ",,,,  4 ,"  25,000 ","  100,000 ",,,,,,,,,
47,Mũ chụp inox D60,cái,315.0,"10,000","  3,150,000 ",,,,  315 ,"  10,000 ","  3,150,000 ",,,,,,,,,
50,Mũ chụp inox D80,cái,96.0,"15,000","  1,440,000 ",,,,  96 ,"  15,000 ","  1,440,000 ",,,,,,,,,
49,Vách ngăn tấm compact dày 12mm (đã bao gồm phụ kiện inox 304 và lắp dựng),m2,31.7,"1,500,000","47,520,000",,,,  32 ,"  1,500,000 ","  47,520,000 ",,,,,,,,,
51,"Cửa đi 2 cánh mở quay, hệ 55 Xingfa, nhôm chịu lực dày 2mm, kính an toàn 6,38mm, phụ kiện kim khí và lắp dựng",m2,104.7,"2,630,484","  275,464,284 ",,,,  105 ,"  2,630,484 ","  275,464,284 ",,,,,,,,,
